"term","estimate","std.error","statistic","p.value"
"APP2OUT",14.9390376150229,0.692363982209616,21.576855525249,2.96349192201256e-103
"PROPERTY7",-4.74804699675452,1.44674090047153,-3.2818917300306,0.00103113189003198
"PROPERTY10",-3.81026524838981,0.426354998947055,-8.93683727832396,4.00467428195646e-19
"PROPERTY9",-3.79886594192906,0.461082977122964,-8.23900714277716,1.73645576671811e-16
"PROPERTY8",-3.61987277344731,0.34638511967538,-10.4504280577634,1.4586537157988e-25
"(Intercept)",-3.06678663985182,0.238436120086522,-12.8620891781789,7.35612287002732e-38
"PROPERTY6",-2.76989167092015,0.4016318515555,-6.89659363467438,5.32642625640491e-12
"AGEATAPP",-2.26931699603002,0.137364843319072,-16.520362424604,2.61820042147369e-61
"PROPERTY3",-2.16310907314148,0.560279133103684,-3.86077036486951,0.000113030094366527
"PROPERTY5",-1.80713931059381,0.267540652680573,-6.75463445456803,1.4319582133816e-11
"RSNSCT2",1.66623784962234,0.221279367881587,7.53001902334604,5.07329310317048e-14
"PROPERTY2",1.59905129884645,0.791486186480414,2.02031485344945,0.0433507390671721
"PROPERTY4",-1.29437705915443,0.262691273272818,-4.92736984760872,8.33439041435581e-07
"RSNSCT3",0.820707190587086,0.217188796337485,3.77877314312202,0.000157602917991559
"ACTIVITY_BY21",0.262139650829395,0.179488527574549,1.4604813709919,0.144157823743529
