"K","Pred_unsuccessful_Ref_unsuccessful","Pred_successful_Ref_unsuccessful","Pred_unsuccessful_Ref_successful","Pred_successful_Ref_successful","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","cm_ts","AUROC"
1,1461,42,45,451,0.95647823911956,0.88311944917689,0.946590834858294,0.9649965622902,0.751875937968984,4.11263928812053e-136,0.830217591777863,0.909274193548387,0.972055888223553,0.914807302231237,0.970119521912351,0.914807302231237,0.909274193548387,0.912032355915066,0.248124062031016,0.225612806403202,0.246623311655828,0.94066504088597,2024-04-01 19:26:02.774123,0.991134666151568
2,1467,36,29,467,0.967483741870935,0.913262462241952,0.958741290424954,0.97481685575256,0.751875937968984,2.22026734315352e-156,0.456750402423169,0.941532258064516,0.976047904191617,0.928429423459245,0.980614973262032,0.928429423459245,0.941532258064516,0.934934934934935,0.248124062031016,0.233616808404202,0.251625812906453,0.958790081128067,2024-04-01 19:26:02.791039,0.995830248105939
3,1467,36,28,468,0.967983991995998,0.91465425688044,0.959298421526854,0.975258300596908,0.751875937968984,2.25598002711245e-157,0.381573905705021,0.943548387096774,0.976047904191617,0.928571428571429,0.981270903010033,0.928571428571429,0.943548387096774,0.936,0.248124062031016,0.234117058529265,0.252126063031516,0.959798145644196,2024-04-01 19:26:02.809891,0.995847015646127
4,1478,25,24,472,0.975487743871936,0.93434844766998,0.967721830156968,0.981811955793602,0.751875937968984,3.59991736616963e-173,1,0.951612903225806,0.983366600133067,0.949698189134809,0.984021304926764,0.949698189134809,0.951612903225806,0.950654582074522,0.248124062031016,0.236118059029515,0.248624312156078,0.967489751679437,2024-04-01 19:26:02.846257,0.997522428261756
5,1476,27,20,476,0.976488244122061,0.937282088082642,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.38147056115119,0.959677419354839,0.982035928143713,0.946322067594433,0.986631016042781,0.946322067594433,0.959677419354839,0.952952952952953,0.248124062031016,0.238119059529765,0.251625812906453,0.970856673749276,2024-04-01 19:26:02.911464,0.997758515227609
6,1477,26,20,476,0.976988494247124,0.938575220872428,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.460994786425578,0.959677419354839,0.98270126413839,0.948207171314741,0.986639946559786,0.948207171314741,0.959677419354839,0.953907815631263,0.248124062031016,0.238119059529765,0.251125562781391,0.971189341746614,2024-04-01 19:26:02.942619,0.997851072049449
7,1477,26,20,476,0.976988494247124,0.938575220872428,0.969424133478773,0.983104595646103,0.751875937968984,1.48111508929016e-176,0.460994786425578,0.959677419354839,0.98270126413839,0.948207171314741,0.986639946559786,0.948207171314741,0.959677419354839,0.953907815631263,0.248124062031016,0.238119059529765,0.251125562781391,0.971189341746614,2024-04-01 19:26:02.969196,0.997872534500891
8,1477,26,21,475,0.976488244122061,0.937197654295323,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.559583699775243,0.957661290322581,0.98270126413839,0.94810379241517,0.985981308411215,0.94810379241517,0.957661290322581,0.952858575727181,0.248124062031016,0.237618809404702,0.250625312656328,0.970181277230485,2024-04-01 19:26:02.990623,0.997903386774837
9,1477,26,21,475,0.976488244122061,0.937197654295323,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.559583699775243,0.957661290322581,0.98270126413839,0.94810379241517,0.985981308411215,0.94810379241517,0.957661290322581,0.952858575727181,0.248124062031016,0.237618809404702,0.250625312656328,0.970181277230485,2024-04-01 19:26:03.015412,0.997911435194128
10,1477,26,21,475,0.976488244122061,0.937197654295323,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.559583699775243,0.957661290322581,0.98270126413839,0.94810379241517,0.985981308411215,0.94810379241517,0.957661290322581,0.952858575727181,0.248124062031016,0.237618809404702,0.250625312656328,0.970181277230485,2024-04-01 19:26:03.038317,0.997910093790913
11,1476,27,22,474,0.975487743871936,0.93452521405257,0.967721830156968,0.981811955793602,0.751875937968984,3.59991736616963e-173,0.567709166197353,0.955645161290323,0.982035928143713,0.946107784431138,0.985313751668892,0.946107784431138,0.955645161290323,0.950852557673019,0.248124062031016,0.23711855927964,0.250625312656328,0.968840544717018,2024-04-01 19:26:03.066654,0.997910093790913
12,1476,27,21,475,0.975987993996999,0.935904578301664,0.968288511308784,0.982243611091748,0.751875937968984,2.73503436612505e-174,0.47048642205879,0.957661290322581,0.982035928143713,0.946215139442231,0.985971943887776,0.946215139442231,0.957661290322581,0.951903807615231,0.248124062031016,0.237618809404702,0.251125562781391,0.969848609233147,2024-04-01 19:26:03.095295,0.997873875904106
13,1476,27,21,475,0.975987993996999,0.935904578301664,0.968288511308784,0.982243611091748,0.751875937968984,2.73503436612505e-174,0.47048642205879,0.957661290322581,0.982035928143713,0.946215139442231,0.985971943887776,0.946215139442231,0.957661290322581,0.951903807615231,0.248124062031016,0.237618809404702,0.251125562781391,0.969848609233147,2024-04-01 19:26:03.13588,0.99786180327517
14,1477,26,21,475,0.976488244122061,0.937197654295323,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.559583699775243,0.957661290322581,0.98270126413839,0.94810379241517,0.985981308411215,0.94810379241517,0.957661290322581,0.952858575727181,0.248124062031016,0.237618809404702,0.250625312656328,0.970181277230485,2024-04-01 19:26:03.171003,0.997869851694461
15,1477,26,21,475,0.976488244122061,0.937197654295323,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.559583699775243,0.957661290322581,0.98270126413839,0.94810379241517,0.985981308411215,0.94810379241517,0.957661290322581,0.952858575727181,0.248124062031016,0.237618809404702,0.250625312656328,0.970181277230485,2024-04-01 19:26:03.197608,0.997848389243019
16,1477,26,21,475,0.976488244122061,0.937197654295323,0.968855938103601,0.982674499069712,0.751875937968984,2.03449997995851e-175,0.559583699775243,0.957661290322581,0.98270126413839,0.94810379241517,0.985981308411215,0.94810379241517,0.957661290322581,0.952858575727181,0.248124062031016,0.237618809404702,0.250625312656328,0.970181277230485,2024-04-01 19:26:03.228508,0.997843023630159
17,1478,25,20,476,0.977488744372186,0.939870094538075,0.969993121598512,0.983533875425957,0.751875937968984,1.05477443505358e-177,0.550984987585094,0.959677419354839,0.983366600133067,0.950099800399202,0.986648865153538,0.950099800399202,0.959677419354839,0.954864593781344,0.248124062031016,0.238119059529765,0.250625312656328,0.971522009743953,2024-04-01 19:26:03.259342,0.997747784001889
18,1476,27,21,475,0.975987993996999,0.935904578301664,0.968288511308784,0.982243611091748,0.751875937968984,2.73503436612505e-174,0.47048642205879,0.957661290322581,0.982035928143713,0.946215139442231,0.985971943887776,0.946215139442231,0.957661290322581,0.951903807615231,0.248124062031016,0.237618809404702,0.251125562781391,0.969848609233147,2024-04-01 19:26:03.320869,0.997698152082931
19,1476,27,21,475,0.975987993996999,0.935904578301664,0.968288511308784,0.982243611091748,0.751875937968984,2.73503436612505e-174,0.47048642205879,0.957661290322581,0.982035928143713,0.946215139442231,0.985971943887776,0.946215139442231,0.957661290322581,0.951903807615231,0.248124062031016,0.237618809404702,0.251125562781391,0.969848609233147,2024-04-01 19:26:03.391546,0.99768473805078
