Variable,Appearances,ENet,LR mRMR,AdaboostM1,Bag-Adaboost,RF,XGB
APP2OUT,6,100,100,100,100,100,100
AGEATAPP,5,14.6,74.9,20.3,6.9,5,7
PROPERTY Hospital,3,21.7,44.7,3.6,0.6,0.5,0.7
PROPERTY Hostels & B&Bs,3,22.7,37.2,3.3,0.5,0.4,0.7
VULNERABILITY_COUNT,3,0,NA,5.1,0.4,1.2,0.9
ACTIVITY_COUNT,2,0.2,NA,2.4,0.1,1.6,1
ACTIVITY_HOMELESSNESS_RIGHTS,2,6.7,NA,3.9,0.1,0.8,0.7
PROPERTY Supported accommodation,2,22.5,33.7,2.9,0.4,0.3,0.4
ACTIVITY TYPE 1,1,1.4,NA,0.5,0.2,0.9,0.6
ACTIVITY_HOME_OWNERHSIP_ADVICE,1,32.9,NA,0,0,0,0
GENDER Female,1,0,NA,0.5,0.5,0.8,0.1
PROPERTY Prison,1,26.1,9.1,0.1,0,0.1,0
