rowname,Overall
APP2OUT,100
client_informed_of_rights_under_homelessness_legislationTRUE,93.20024121
RSNSCTproperty_may_no_longer_be_suitable_available_in_future,67.35504429
PROPERTYprison,44.49787669
REASONeviction_UK_borders_agency,24.82581598
ageatapp,21.75609339
SUPPORT2,18.97838004
help_to_remain_in_accommodationTRUE,18.26847161
activity_by_2TRUE,15.09318725
activity_type_2TRUE,13.21405943
general_housing_advice_tenancy_rights_adviceTRUE,8.510904476
vul_count,7.851943875
SUPPORT1,7.742282393
activity_by_3TRUE,7.15861665
lackofsupport_vulTRUE,6.965534314
PROPERTYPRS_tenancy,6.442596991
activity_type_1TRUE,6.302507627
REASONdischarge_prison_hospital_institution,5.517262397
financial_assistance_adviceTRUE,5.431047183
REASONgeneral_housing_options_advice,5.405010037
PROPERTYRSL_tenancy,4.516020079
mental_vulTRUE,3.949411671
PROPERTYfamily,3.818442239
PROPERTYLA_tenancy,3.17539418
gender2,3.104605214
REASONasked_to_leave,2.877465154
PROPERTYother,2.697859018
unmetneed_vulTRUE,2.641682018
RSNSCThave_to_leave_accommodation_household,2.555820216
previous_approachTRUE,2.426496946
REASONdispute_household_relationship_breakdown_non_violent,2.40406098
ethnicitynot_known,2.289755815
REASONother_reason_for_leaving_accom,2.264913943
PROPERTYhostel_B&B,2.2455895
activity_by_1TRUE,1.797156969
PROPERTYsofa_surfing,1.776080651
help_to_move_to_other_propertyTRUE,1.73750925
PROPERTYfriends_partners,1.660137343
fin_vulTRUE,1.627692206
REASONharrassment,1.520493685
PROPERTYhome_ownership,1.481770908
REASONproperty_condition_or_accom_unsuitable,1.394411686
ethnicitywhite_scottish,1.393088696
REASONdispute_household_violent_abusive,1.376885269
REASONother_reason_loss_eviction_reposession,1.252770523
REASONfleeing_non_domestic_abuse_hate_crime_antisocial_behaviour,1.122387343
phys_vulTRUE,1.103296528
REASONtermination_tenancy_mortage_rent_arrears_default,0.994051775
REASONother_landlord_action_resulting_termination,0.981642033
referral_to_health_social_work_employment_servicesTRUE,0.809585284
ethnicityasian,0.777247714
REASONovercrowding,0.767677796
ethnicitywhite_british,0.734884942
ethnicityrefused,0.732848703
rent_repairs_referrals_neogtiation_with_landlordsTRUE,0.673409759
PROPERTYroofless,0.651042099
ethnicityother,0.594956356
PROPERTYsupported_accom,0.583024389
REASONother_financial_difficulties_benefit_issues,0.579940798
ethnicityother_white,0.557334503
activity_count,0.531105763
PROPERTYlodger,0.495468488
ethnicitycarribean_black,0.44305479
ethnicitywhite_polish,0.396604465
ethnicitymixed,0.142564616
mediation_outreachTRUE,0.118294413
mortgage_homeownership_adviceTRUE,0.100365903
other_activityTRUE,0.094292007
REASONrisk_or_loss_service_tied_accommodation,0.050238543
activity_type_3TRUE,0.030046888
PROPERTYhospital,0
tenancy_social_care_support_adaptations_to_propertyTRUE,0
