rowname,Overall
APP2OUT,100
client_informed_of_rights_under_homelessness_legislationTRUE,89.06428157
help_to_remain_in_accommodationTRUE,83.27016082
activity_by_3TRUE,76.35035125
lackofsupport_vulTRUE,74.54388102
mental_vulTRUE,69.91699395
SUPPORT1,67.26524788
SUPPORT2,62.26471765
REASONeviction_UK_borders_agency,59.90908019
REASONother_financial_difficulties_benefit_issues,53.15916962
general_housing_advice_tenancy_rights_adviceTRUE,51.00319882
activity_type_2TRUE,50.67911054
REASONgeneral_housing_options_advice,49.55289018
PROPERTYprison,43.39478014
PROPERTYhostel_B&B,34.09223012
activity_by_1TRUE,32.10406052
PROPERTYsofa_surfing,31.8207842
PROPERTYroofless,31.80297667
REASONdispute_household_violent_abusive,31.69098559
help_to_move_to_other_propertyTRUE,28.00877178
financial_assistance_adviceTRUE,26.69491937
REASONfleeing_non_domestic_abuse_hate_crime_antisocial_behaviour,21.28241996
activity_count,19.07627768
PROPERTYhospital,18.74318434
ageatapp,17.93409578
PROPERTYRSL_tenancy,16.10870749
PROPERTYhome_ownership,12.64880057
REASONrisk_or_loss_service_tied_accommodation,12.35567964
REASONovercrowding,11.93639822
PROPERTYLA_tenancy,11.56287009
activity_type_3TRUE,10.64401162
PROPERTYPRS_tenancy,10.16772339
mortgage_homeownership_adviceTRUE,9.228288382
REASONtermination_tenancy_mortage_rent_arrears_default,8.458643142
other_activityTRUE,8.023974725
PROPERTYfamily,7.250169989
fin_vulTRUE,7.114298769
REASONasked_to_leave,7.091191112
PROPERTYlodger,5.63422471
REASONother_reason_for_leaving_accom,5.153998214
PROPERTYother,5.018797892
unmetneed_vulTRUE,4.801988988
PROPERTYfriends_partners,3.404330987
REASONother_reason_loss_eviction_reposession,3.22800069
REASONharrassment,3.221671764
mediation_outreachTRUE,2.795082401
REASONdischarge_prison_hospital_institution,2.603540992
tenancy_social_care_support_adaptations_to_propertyTRUE,1.659553574
PROPERTYsupported_accom,1.656610153
REASONdispute_household_relationship_breakdown_non_violent,1.540660584
REASONother_landlord_action_resulting_termination,1.473756965
REASONproperty_condition_or_accom_unsuitable,0
