"rowname","Overall"
"APP2OUT",100
"AGEATAPP",6.9
"PROPERTY8",0.6
"GENDER1",0.5
"PROPERTY10",0.5
"PROPERTY9",0.4
"VULNERABILITY_COUNT",0.4
"PROPERTY4",0.3
"PROPERTY6",0.3
"REASON7",0.3
"ACTIVITY_BY21",0.2
"ACTIVITY_HO_ADVICE1",0.2
"ACTIVITY_REFERRAL_SERVICES1",0.2
"ACTIVITY_TYPE11",0.2
"ACTIVITY_TYPE21",0.2
"ETHNICITY3",0.2
"FIN_VUL1",0.2
"LACKOFSUPPORT_VUL1",0.2
"PREVIOUS_APPROACH1",0.2
"PROPERTY5",0.2
"REASON11",0.2
"REASON12",0.2
"REASON9",0.2
"RSNSCT2",0.2
"ACTIVITY_BY11",0.1
"ACTIVITY_BY31",0.1
"ACTIVITY_COUNT",0.1
"ACTIVITY_FINANCIAL_ASSISTANCE1",0.1
"ACTIVITY_HELP_REMAINING1",0.1
"ACTIVITY_HOMELESSNESS_RIGHTS1",0.1
"ETHNICITY2",0.1
"ETHNICITY4",0.1
"ETHNICITY5",0.1
"ETHNICITY6",0.1
"ETHNICITY7",0.1
"ETHNICITY9",0.1
"MENTAL_VUL1",0.1
"PROPERTY2",0.1
"PROPERTY3",0.1
"REASON10",0.1
"REASON13",0.1
"REASON14",0.1
"REASON16",0.1
"REASON3",0.1
"REASON5",0.1
"UNMETNEED_VUL1",0.1
"ACTIVITY_HELP_MOVING1",0
"ACTIVITY_HOME_OWNERHSIP_ADVICE1",0
"ACTIVITY_LANDLORD_NEGOTIATIONS1",0
"ACTIVITY_MEDIATION1",0
"ACTIVITY_OTHER1",0
"ACTIVITY_SOCIAL_CARE_ADAPTIONS1",0
"ACTIVITY_TYPE31",0
"ETHNICITY10",0
"ETHNICITY11",0
"ETHNICITY8",0
"PHYS_VUL1",0
"PROPERTY7",0
"REASON15",0
"REASON17",0
"REASON2",0
"REASON4",0
"REASON6",0
"REASON8",0
"RSNSCT3",0
