"rowname","Overall"
"APP2OUT",100
"ACTIVITY_HOME_OWNERHSIP_ADVICE1",32.9
"PROPERTY7",26.1
"PROPERTY10",22.7
"PROPERTY9",22.5
"PROPERTY8",21.7
"REASON17",18.1
"PROPERTY6",15.3
"REASON16",15
"AGEATAPP",14.6
"PROPERTY3",11.1
"RSNSCT2",10.6
"PROPERTY2",10.4
"PROPERTY5",10.1
"REASON15",9.8
"REASON14",8.2
"REASON11",7.5
"ETHNICITY8",7.4
"REASON12",7.3
"ACTIVITY_HELP_REMAINING1",7.1
"ACTIVITY_HOMELESSNESS_RIGHTS1",6.7
"ACTIVITY_MEDIATION1",6.5
"PROPERTY4",6.4
"REASON5",5
"REASON13",4.9
"RSNSCT3",4.6
"ETHNICITY4",4.1
"ETHNICITY7",3.8
"ACTIVITY_TYPE21",3.4
"REASON8",2.7
"FIN_VUL1",2.4
"REASON7",2.2
"ACTIVITY_BY21",1.9
"ACTIVITY_LANDLORD_NEGOTIATIONS1",1.9
"ACTIVITY_HO_ADVICE1",1.8
"REASON6",1.7
"ETHNICITY3",1.5
"REASON3",1.5
"REASON4",1.5
"ACTIVITY_FINANCIAL_ASSISTANCE1",1.5
"ACTIVITY_TYPE11",1.4
"ACTIVITY_TYPE31",1.3
"PHYS_VUL1",1.1
"ACTIVITY_REFERRAL_SERVICES1",1
"ETHNICITY9",0.4
"UNMETNEED_VUL1",0.4
"ETHNICITY2",0.3
"REASON10",0.3
"ETHNICITY5",0.2
"PREVIOUS_APPROACH1",0.2
"ACTIVITY_COUNT",0.2
"ACTIVITY_BY31",0.1
"GENDER1",0
"ETHNICITY6",0
"ETHNICITY10",0
"ETHNICITY11",0
"REASON2",0
"REASON9",0
"MENTAL_VUL1",0
"LACKOFSUPPORT_VUL1",0
"ACTIVITY_BY11",0
"VULNERABILITY_COUNT",0
"ACTIVITY_HELP_MOVING1",0
"ACTIVITY_OTHER1",0
"ACTIVITY_SOCIAL_CARE_ADAPTIONS1",0
