"rowname","Overall"
"APP2OUT",100
"AGEATAPP",5
"ACTIVITY_COUNT",1.6
"VULNERABILITY_COUNT",1.2
"ACTIVITY_TYPE11",0.9
"GENDER1",0.8
"PREVIOUS_APPROACH1",0.8
"ACTIVITY_TYPE21",0.8
"ACTIVITY_BY11",0.8
"ACTIVITY_BY21",0.8
"ACTIVITY_HOMELESSNESS_RIGHTS1",0.8
"ACTIVITY_HO_ADVICE1",0.8
"MENTAL_VUL1",0.7
"LACKOFSUPPORT_VUL1",0.7
"PROPERTY5",0.6
"PROPERTY4",0.5
"PROPERTY8",0.5
"ETHNICITY2",0.5
"ETHNICITY3",0.5
"FIN_VUL1",0.5
"PHYS_VUL1",0.5
"UNMETNEED_VUL1",0.5
"ACTIVITY_REFERRAL_SERVICES1",0.5
"RSNSCT2",0.5
"RSNSCT3",0.5
"PROPERTY6",0.4
"PROPERTY10",0.4
"REASON2",0.4
"REASON3",0.4
"REASON4",0.4
"REASON5",0.4
"PROPERTY9",0.3
"ETHNICITY4",0.3
"REASON6",0.3
"REASON7",0.3
"REASON8",0.3
"REASON9",0.3
"REASON11",0.3
"ACTIVITY_TYPE31",0.3
"ACTIVITY_BY31",0.3
"ACTIVITY_FINANCIAL_ASSISTANCE1",0.3
"PROPERTY2",0.2
"PROPERTY3",0.2
"ETHNICITY5",0.2
"ETHNICITY6",0.2
"ETHNICITY7",0.2
"REASON10",0.2
"REASON12",0.2
"REASON13",0.2
"REASON14",0.2
"REASON16",0.2
"ACTIVITY_LANDLORD_NEGOTIATIONS1",0.2
"ACTIVITY_HELP_REMAINING1",0.2
"ACTIVITY_SOCIAL_CARE_ADAPTIONS1",0.2
"PROPERTY7",0.1
"ETHNICITY8",0.1
"ETHNICITY9",0.1
"ETHNICITY10",0.1
"REASON15",0.1
"REASON17",0.1
"ACTIVITY_HELP_MOVING1",0.1
"ACTIVITY_OTHER1",0.1
"ETHNICITY11",0
"ACTIVITY_MEDIATION1",0
"ACTIVITY_HOME_OWNERHSIP_ADVICE1",0
