"rowname","Overall"
"APP2OUT",100
"AGEATAPP",7
"ACTIVITY_COUNT",1
"VULNERABILITY_COUNT",0.9
"ACTIVITY_HOMELESSNESS_RIGHTS1",0.7
"PROPERTY8",0.7
"RSNSCT2",0.7
"ACTIVITY_HO_ADVICE1",0.7
"PROPERTY10",0.7
"ACTIVITY_TYPE11",0.6
"PREVIOUS_APPROACH1",0.6
"GENDER0",0.5
"ACTIVITY_BY21",0.5
"ACTIVITY_BY11",0.5
"PROPERTY5",0.5
"ACTIVITY_TYPE21",0.5
"RSNSCT3",0.4
"MENTAL_VUL1",0.4
"PROPERTY9",0.4
"LACKOFSUPPORT_VUL1",0.3
"PROPERTY4",0.3
"ETHNICITY2",0.3
"PROPERTY6",0.3
"UNMETNEED_VUL1",0.3
"ETHNICITY3",0.3
"FIN_VUL1",0.2
"REASON5",0.2
"REASON11",0.2
"ACTIVITY_REFERRAL_SERVICES1",0.2
"PHYS_VUL1",0.2
"ACTIVITY_FINANCIAL_ASSISTANCE1",0.2
"REASON9",0.2
"REASON3",0.2
"REASON13",0.2
"REASON7",0.1
"REASON12",0.1
"GENDER1",0.1
"REASON4",0.1
"REASON6",0.1
"REASON8",0.1
"ACTIVITY_TYPE31",0.1
"REASON2",0.1
"PROPERTY3",0.1
"ETHNICITY4",0.1
"ACTIVITY_HELP_REMAINING1",0.1
"ETHNICITY7",0.1
"PROPERTY2",0.1
"REASON10",0.1
"REASON14",0.1
"ACTIVITY_BY31",0.1
"REASON15",0
"ACTIVITY_SOCIAL_CARE_ADAPTIONS1",0
"REASON16",0
"ETHNICITY8",0
"ETHNICITY6",0
"PROPERTY7",0
"ACTIVITY_LANDLORD_NEGOTIATIONS1",0
"ETHNICITY5",0
"ETHNICITY10",0
"ETHNICITY9",0
"ETHNICITY11",0
"REASON17",0
"ACTIVITY_MEDIATION1",0
"ACTIVITY_HOME_OWNERHSIP_ADVICE1",0
"ACTIVITY_HELP_MOVING1",0
"ACTIVITY_OTHER1",0
