rowname,Overall
APP2OUT,100
client_informed_of_rights_under_homelessness_legislationTRUE,48.4144718
ageatapp,37.66793743
PROPERTYprison,36.1989508
SUPPORT2,20.88024436
general_housing_advice_tenancy_rights_adviceTRUE,19.31401101
vul_count,17.44781755
help_to_remain_in_accommodationTRUE,16.80865364
activity_type_2TRUE,16.38566947
REASONgeneral_housing_options_advice,15.44418232
RSNSCTproperty_may_no_longer_be_suitable_available_in_future,14.91288173
REASONother_financial_difficulties_benefit_issues,14.41033935
REASONeviction_UK_borders_agency,11.58973947
activity_type_1TRUE,11.14347512
activity_by_2TRUE,8.771571202
SUPPORT1,8.379052024
REASONdischarge_prison_hospital_institution,7.262914008
RSNSCThave_to_leave_accommodation_household,7.005312484
referral_to_health_social_work_employment_servicesTRUE,6.899429126
PROPERTYRSL_tenancy,6.092926649
ethnicitywhite_scottish,5.40916486
gender2,5.261306449
PROPERTYPRS_tenancy,5.022250103
ethnicityother,4.928667548
lackofsupport_vulTRUE,4.861830463
financial_assistance_adviceTRUE,4.62761438
PROPERTYhostel_B&B,4.328865336
mental_vulTRUE,4.202715446
PROPERTYsupported_accom,4.160783372
previous_approachTRUE,3.817093708
PROPERTYother,3.73608513
PROPERTYsofa_surfing,3.57397728
PROPERTYLA_tenancy,3.249140204
PROPERTYfamily,3.235265923
PROPERTYfriends_partners,3.234893679
rent_repairs_referrals_neogtiation_with_landlordsTRUE,3.128851881
fin_vulTRUE,3.086486736
PROPERTYroofless,2.852965423
unmetneed_vulTRUE,2.639264095
activity_by_1TRUE,2.594730138
REASONother_reason_for_leaving_accom,2.474391005
REASONasked_to_leave,2.396945333
REASONother_reason_loss_eviction_reposession,2.190481271
activity_by_3TRUE,2.149072779
REASONdispute_household_violent_abusive,2.059415905
REASONdispute_household_relationship_breakdown_non_violent,2.001016045
REASONother_landlord_action_resulting_termination,1.986707419
phys_vulTRUE,1.798001431
ethnicitynot_known,1.656762915
REASONproperty_condition_or_accom_unsuitable,1.358807712
REASONtermination_tenancy_mortage_rent_arrears_default,1.311825487
PROPERTYhome_ownership,1.308595124
REASONovercrowding,1.181585831
ethnicitywhite_british,0.96871586
PROPERTYlodger,0.858539495
help_to_move_to_other_propertyTRUE,0.844142635
REASONharrassment,0.809738483
ethnicityother_white,0.741332929
REASONfleeing_non_domestic_abuse_hate_crime_antisocial_behaviour,0.64019386
ethnicityasian,0.640133489
activity_count,0.637025234
ethnicitywhite_polish,0.610295699
PROPERTYhospital,0.573876532
ethnicityrefused,0.281743195
REASONrisk_or_loss_service_tied_accommodation,0.136841052
PROPERTYaccomm_tied_employment_armed_forces,0.106627798
tenancy_social_care_support_adaptations_to_propertyTRUE,0.08140092
mediation_outreachTRUE,0.048311506
activity_type_3TRUE,0.045847353
mortgage_homeownership_adviceTRUE,0.03015685
other_activityTRUE,0.024402808
ethnicitycarribean_black,0.019914366
ethnicitymixed,0
